ID_MN_RESI;Municipio;Estado;População_estimada
410010;ABATIA;PARANA;7271
410020;ADRIANOPOLIS;PARANA;6327
410030;AGUDOS DO SUL;PARANA;10646
410040;ALMIRANTE TAMANDARE;PARANA;124788
410045;ALTAMIRA DO PARANA;PARANA;3543
410050;ALTONIA;PARANA;18750
410060;ALTO PARANA;PARANA;14138
410070;ALTO PIQUIRI;PARANA;9802
410080;ALVORADA DO SUL;PARANA;10478
410090;AMAPORA;PARANA;4736
410100;AMPERE;PARANA;20199
410105;ANAHY;PARANA;2965
410110;ANDIRA;PARANA;20044
410115;ANGULO;PARANA;3332
410120;ANTONINA;PARANA;18223
410130;ANTONIO OLINTO;PARANA;7071
410140;APUCARANA;PARANA;134306
410150;ARAPONGAS;PARANA;123863
410160;ARAPOTI;PARANA;26310
410165;ARAPUA;PARANA;3573
410170;ARARUNA;PARANA;14824
410180;ARAUCARIA;PARANA;160038
410185;ARIRANHA DO IVAI;PARANA;2351
410190;ASSAI;PARANA;13643
410200;ASSIS CHATEAUBRIAND;PARANA;38105
410210;ASTORGA;PARANA;26145
410220;ATALAIA;PARANA;4045
410230;BALSA NOVA;PARANA;13871
410240;BANDEIRANTES;PARANA;31807
410250;BARBOSA FERRAZ;PARANA;10692
410260;BARRACAO;PARANA;9900
410270;BARRA DO JACARE;PARANA;2866
410275;BELA VISTA DA CAROBA;PARANA;4100
410280;BELA VISTA DO PARAISO;PARANA;14998
410290;BITURUNA;PARANA;15689
410300;BOA ESPERANCA;PARANA;4622
410302;BOA ESPERANCA DO IGUACU;PARANA;2448
410304;BOA VENTURA DE SAO ROQUE;PARANA;6244
410305;BOA VISTA DA APARECIDA;PARANA;8034
410310;BOCAIUVA DO SUL;PARANA;13804
410315;BOM JESUS DO SUL;PARANA;4061
410320;BOM SUCESSO;PARANA;6677
410322;BOM SUCESSO DO SUL;PARANA;3234
410330;BORRAZOPOLIS;PARANA;7824
410335;BRAGANEY;PARANA;4802
410337;BRASILANDIA DO SUL;PARANA;3828
410340;CAFEARA;PARANA;2655
410345;CAFELANDIA;PARANA;19844
410347;CAFEZAL DO SUL;PARANA;4561
410350;CALIFORNIA;PARANA;8921
410360;CAMBARA;PARANA;23430
410370;CAMBE;PARANA;111009
410380;CAMBIRA;PARANA;9899
410390;CAMPINA DA LAGOA;PARANA;15979
410395;CAMPINA DO SIMAO;PARANA;3973
410400;CAMPINA GRANDE DO SUL;PARANA;49971
410405;CAMPO BONITO;PARANA;4032
410410;CAMPO DO TENENTE;PARANA;7666
410420;CAMPO LARGO;PARANA;142695
410425;CAMPO MAGRO;PARANA;31555
410430;CAMPO MOURAO;PARANA;103340
410440;CANDIDO DE ABREU;PARANA;15255
410442;CANDOI;PARANA;15174
410445;CANTAGALO;PARANA;10799
410450;CAPANEMA;PARANA;21022
410460;CAPITAO LEONIDAS MARQUES;PARANA;14796
410465;CARAMBEI;PARANA;24159
410470;CARLOPOLIS;PARANA;17567
410480;CASCAVEL;PARANA;364104
410490;CASTRO;PARANA;75291
410500;CATANDUVAS;PARANA;10627
410510;CENTENARIO DO SUL;PARANA;10936
410520;CERRO AZUL;PARANA;16240
410530;CEU AZUL;PARANA;11251
410540;CHOPINZINHO;PARANA;21559
410550;CIANORTE;PARANA;82359
410560;CIDADE GAUCHA;PARANA;11684
410570;CLEVELANDIA;PARANA;14975
410580;COLOMBO;PARANA;240720
410590;COLORADO;PARANA;23278
410600;CONGONHINHAS;PARANA;8442
410610;CONSELHEIRO MAIRINCK;PARANA;3486
410620;CONTENDA;PARANA;19827
410630;CORBELIA;PARANA;17862
410640;CORNELIO PROCOPIO;PARANA;45830
410645;CORONEL DOMINGOS SOARES;PARANA;5516
410650;CORONEL VIVIDA;PARANA;23859
410655;CORUMBATAI DO SUL;PARANA;3780
410657;CRUZEIRO DO IGUACU;PARANA;4171
410660;CRUZEIRO DO OESTE;PARANA;24622
410670;CRUZEIRO DO SUL;PARANA;4547
410680;CRUZ MACHADO;PARANA;15910
410685;CRUZMALTINA;PARANA;2896
410690;CURITIBA;PARANA;1829225
410700;CURIUVA;PARANA;13802
410710;DIAMANTE DO NORTE;PARANA;5164
410712;DIAMANTE DO SUL;PARANA;3170
410715;DIAMANTE D'OESTE;PARANA;4557
410720;DOIS VIZINHOS;PARANA;47014
410725;DOURADINA;PARANA;9525
410730;DOUTOR CAMARGO;PARANA;6484
410740;ENEAS MARQUES;PARANA;6070
410750;ENGENHEIRO BELTRAO;PARANA;12431
410752;ESPERANCA NOVA;PARANA;1858
410753;ENTRE RIOS DO OESTE;PARANA;4729
410754;ESPIGAO ALTO DO IGUACU;PARANA;4881
410755;FAROL;PARANA;3023
410760;FAXINAL;PARANA;16618
410765;FAZENDA RIO GRANDE;PARANA;161506
410770;FENIX;PARANA;4512
410773;FERNANDES PINHEIRO;PARANA;6387
410775;FIGUEIRA;PARANA;8144
410780;FLORAI;PARANA;4825
410785;FLOR DA SERRA DO SUL;PARANA;4367
410790;FLORESTA;PARANA;11226
410800;FLORESTOPOLIS;PARANA;11639
410810;FLORIDA;PARANA;2704
410820;FORMOSA DO OESTE;PARANA;7756
410830;FOZ DO IGUACU;PARANA;295500
410832;FRANCISCO ALVES;PARANA;8464
410840;FRANCISCO BELTRAO;PARANA;101302
410845;FOZ DO JORDAO;PARANA;4925
410850;GENERAL CARNEIRO;PARANA;10861
410855;GODOY MOREIRA;PARANA;2970
410860;GOIOERE;PARANA;28970
410865;GOIOXIM;PARANA;6531
410870;GRANDES RIOS;PARANA;5586
410880;GUAIRA;PARANA;32966
410890;GUAIRACA;PARANA;6733
410895;GUAMIRANGA;PARANA;7961
410900;GUAPIRAMA;PARANA;4792
410910;GUAPOREMA;PARANA;2217
410920;GUARACI;PARANA;4762
410930;GUARANIACU;PARANA;13814
410940;GUARAPUAVA;PARANA;188710
410950;GUARAQUECABA;PARANA;7474
410960;GUARATUBA;PARANA;44323
410965;HONORIO SERPA;PARANA;4872
410970;IBAITI;PARANA;29440
410975;IBEMA;PARANA;6327
410980;IBIPORA;PARANA;53054
410990;ICARAIMA;PARANA;9139
411000;IGUARACU;PARANA;5599
411005;IGUATU;PARANA;2162
411007;IMBAU;PARANA;14815
411010;IMBITUVA;PARANA;30757
411020;INACIO MARTINS;PARANA;9633
411030;INAJA;PARANA;2510
411040;INDIANOPOLIS;PARANA;4531
411050;IPIRANGA;PARANA;14338
411060;IPORA;PARANA;16062
411065;IRACEMA DO OESTE;PARANA;2344
411070;IRATI;PARANA;60796
411080;IRETAMA;PARANA;10843
411090;ITAGUAJE;PARANA;4532
411095;ITAIPULANDIA;PARANA;11984
411100;ITAMBARACA;PARANA;5874
411110;ITAMBE;PARANA;6215
411120;ITAPEJARA D'OESTE;PARANA;12766
411125;ITAPERUCU;PARANA;32890
411130;ITAUNA DO SUL;PARANA;3620
411140;IVAI;PARANA;13473
411150;IVAIPORA;PARANA;33529
411155;IVATE;PARANA;6833
411160;IVATUBA;PARANA;2705
411170;JABOTI;PARANA;5576
411180;JACAREZINHO;PARANA;41400
411190;JAGUAPITA;PARANA;15719
411200;JAGUARIAIVA;PARANA;36231
411210;JANDAIA DO SUL;PARANA;21851
411220;JANIOPOLIS;PARANA;5835
411230;JAPIRA;PARANA;5060
411240;JAPURA;PARANA;9354
411250;JARDIM ALEGRE;PARANA;12130
411260;JARDIM OLINDA;PARANA;1353
411270;JATAIZINHO;PARANA;11971
411275;JESUITAS;PARANA;10860
411280;JOAQUIM TAVORA;PARANA;12280
411290;JUNDIAI DO SUL;PARANA;3366
411295;JURANDA;PARANA;7898
411300;JUSSARA;PARANA;6795
411310;KALORE;PARANA;4657
411320;LAPA;PARANA;45857
411325;LARANJAL;PARANA;5575
411330;LARANJEIRAS DO SUL;PARANA;33103
411340;LEOPOLIS;PARANA;3751
411342;LIDIANOPOLIS;PARANA;3989
411345;LINDOESTE;PARANA;5226
411350;LOANDA;PARANA;23813
411360;LOBATO;PARANA;4693
411370;LONDRINA;PARANA;577318
411373;LUIZIANA;PARANA;6696
411375;LUNARDELLI;PARANA;4902
411380;LUPIONOPOLIS;PARANA;4911
411390;MALLET;PARANA;13655
411400;MAMBORE;PARANA;13572
411410;MANDAGUACU;PARANA;33752
411420;MANDAGUARI;PARANA;38050
411430;MANDIRITUBA;PARANA;28761
411435;MANFRINOPOLIS;PARANA;2761
411440;MANGUEIRINHA;PARANA;16764
411450;MANOEL RIBAS;PARANA;14576
411460;MARECHAL CANDIDO RONDON;PARANA;58140
411470;MARIA HELENA;PARANA;5935
411480;MARIALVA;PARANA;44098
411490;MARILANDIA DO SUL;PARANA;8774
411500;MARILENA;PARANA;7409
411510;MARILUZ;PARANA;9934
411520;MARINGA;PARANA;425983
411530;MARIOPOLIS;PARANA;6475
411535;MARIPA;PARANA;6767
411540;MARMELEIRO;PARANA;16386
411545;MARQUINHO;PARANA;4521
411550;MARUMBI;PARANA;4778
411560;MATELANDIA;PARANA;19022
411570;MATINHOS;PARANA;41416
411573;MATO RICO;PARANA;3237
411575;MAUA DA SERRA;PARANA;9628
411580;MEDIANEIRA;PARANA;57120
411585;MERCEDES;PARANA;6136
411590;MIRADOR;PARANA;2258
411600;MIRASELVA;PARANA;2008
411605;MISSAL;PARANA;11301
411610;MOREIRA SALES;PARANA;11137
411620;MORRETES;PARANA;18908
411630;MUNHOZ DE MELO;PARANA;4045
411640;NOSSA SENHORA DAS GRACAS;PARANA;3685
411650;NOVA ALIANCA DO IVAI;PARANA;1327
411660;NOVA AMERICA DA COLINA;PARANA;3299
411670;NOVA AURORA;PARANA;14219
411680;NOVA CANTU;PARANA;6799
411690;NOVA ESPERANCA;PARANA;27142
411695;NOVA ESPERANCA DO SUDOESTE;PARANA;5744
411700;NOVA FATIMA;PARANA;7201
411705;NOVA LARANJEIRAS;PARANA;12287
411710;NOVA LONDRINA;PARANA;13085
411720;NOVA OLIMPIA;PARANA;5960
411721;NOVA SANTA BARBARA;PARANA;4280
411722;NOVA SANTA ROSA;PARANA;8535
411725;NOVA PRATA DO IGUACU;PARANA;13196
411727;NOVA TEBAS;PARANA;6870
411729;NOVO ITACOLOMI;PARANA;3210
411730;ORTIGUEIRA;PARANA;24627
411740;OURIZONA;PARANA;3206
411745;OURO VERDE DO OESTE;PARANA;7031
411750;PAICANDU;PARANA;48207
411760;PALMAS;PARANA;49891
411770;PALMEIRA;PARANA;34806
411780;PALMITAL;PARANA;12967
411790;PALOTINA;PARANA;36623
411800;PARAISO DO NORTE;PARANA;13634
411810;PARANACITY;PARANA;9597
411820;PARANAGUA;PARANA;149819
411830;PARANAPOEMA;PARANA;2378
411840;PARANAVAI;PARANA;95525
411845;PATO BRAGADO;PARANA;5939
411850;PATO BRANCO;PARANA;96602
411860;PAULA FREITAS;PARANA;5778
411870;PAULO FRONTIN;PARANA;6369
411880;PEABIRU;PARANA;13496
411885;PEROBAL;PARANA;7496
411890;PEROLA;PARANA;12275
411900;PEROLA D'OESTE;PARANA;6235
411910;PIEN;PARANA;14179
411915;PINHAIS;PARANA;131199
411920;PINHALAO;PARANA;6707
411925;PINHAL DE SAO BENTO;PARANA;2819
411930;PINHAO;PARANA;30472
411940;PIRAI DO SUL;PARANA;24000
411950;PIRAQUARA;PARANA;124934
411960;PITANGA;PARANA;34513
411965;PITANGUEIRAS;PARANA;3121
411970;PLANALTINA DO PARANA;PARANA;4123
411980;PLANALTO;PARANA;14663
411990;PONTA GROSSA;PARANA;372562
411995;PONTAL DO PARANA;PARANA;32426
412000;PORECATU;PARANA;11438
412010;PORTO AMAZONAS;PARANA;4099
412015;PORTO BARREIRO;PARANA;3078
412020;PORTO RICO;PARANA;3316
412030;PORTO VITORIA;PARANA;3549
412033;PRADO FERREIRA;PARANA;3799
412035;PRANCHITA;PARANA;5833
412040;PRESIDENTE CASTELO BRANCO;PARANA;4336
412050;PRIMEIRO DE MAIO;PARANA;10121
412060;PRUDENTOPOLIS;PARANA;50428
412065;QUARTO CENTENARIO;PARANA;4170
412070;QUATIGUA;PARANA;8357
412080;QUATRO BARRAS;PARANA;25109
412085;QUATRO PONTES;PARANA;4636
412090;QUEDAS DO IGUACU;PARANA;31405
412100;QUERENCIA DO NORTE;PARANA;10693
412110;QUINTA DO SOL;PARANA;5060
412120;QUITANDINHA;PARANA;18823
412125;RAMILANDIA;PARANA;4293
412130;RANCHO ALEGRE;PARANA;3501
412135;RANCHO ALEGRE D'OESTE;PARANA;2638
412140;REALEZA;PARANA;19903
412150;REBOUCAS;PARANA;14754
412160;RENASCENCA;PARANA;6946
412170;RESERVA;PARANA;24851
412175;RESERVA DO IGUACU;PARANA;6543
412180;RIBEIRAO CLARO;PARANA;12770
412190;RIBEIRAO DO PINHAL;PARANA;13180
412200;RIO AZUL;PARANA;14214
412210;RIO BOM;PARANA;3223
412215;RIO BONITO DO IGUACU;PARANA;14234
412217;RIO BRANCO DO IVAI;PARANA;3850
412220;RIO BRANCO DO SUL;PARANA;39307
412230;RIO NEGRO;PARANA;31992
412240;ROLANDIA;PARANA;74935
412250;RONCADOR;PARANA;11371
412260;RONDON;PARANA;9240
412265;ROSARIO DO IVAI;PARANA;5491
412270;SABAUDIA;PARANA;9320
412280;SALGADO FILHO;PARANA;4097
412290;SALTO DO ITARARE;PARANA;5267
412300;SALTO DO LONTRA;PARANA;15636
412310;SANTA AMELIA;PARANA;3386
412320;SANTA CECILIA DO PAVAO;PARANA;3375
412330;SANTA CRUZ DE MONTE CASTELO;PARANA;8806
412340;SANTA FE;PARANA;11669
412350;SANTA HELENA;PARANA;26341
412360;SANTA INES;PARANA;1760
412370;SANTA ISABEL DO IVAI;PARANA;9059
412380;SANTA IZABEL DO OESTE;PARANA;14385
412382;SANTA LUCIA;PARANA;3657
412385;SANTA MARIA DO OESTE;PARANA;9985
412390;SANTA MARIANA;PARANA;11034
412395;SANTA MONICA;PARANA;3373
412400;SANTANA DO ITARARE;PARANA;5628
412402;SANTA TEREZA DO OESTE;PARANA;13749
412405;SANTA TEREZINHA DE ITAIPU;PARANA;25055
412410;SANTO ANTONIO DA PLATINA;PARANA;45534
412420;SANTO ANTONIO DO CAIUA;PARANA;2496
412430;SANTO ANTONIO DO PARAISO;PARANA;2116
412440;SANTO ANTONIO DO SUDOESTE;PARANA;24644
412450;SANTO INACIO;PARANA;6397
412460;SAO CARLOS DO IVAI;PARANA;6712
412470;SAO JERONIMO DA SERRA;PARANA;10913
412480;SAO JOAO;PARANA;12230
412490;SAO JOAO DO CAIUA;PARANA;5620
412500;SAO JOAO DO IVAI;PARANA;10700
412510;SAO JOAO DO TRIUNFO;PARANA;13923
412520;SAO JORGE D'OESTE;PARANA;9550
412530;SAO JORGE DO IVAI;PARANA;5193
412535;SAO JORGE DO PATROCINIO;PARANA;6659
412540;SAO JOSE DA BOA VISTA;PARANA;6060
412545;SAO JOSE DAS PALMEIRAS;PARANA;4030
412550;SAO JOSE DOS PINHAIS;PARANA;345644
412555;SAO MANOEL DO PARANA;PARANA;2173
412560;SAO MATEUS DO SUL;PARANA;43413
412570;SAO MIGUEL DO IGUACU;PARANA;30198
412575;SAO PEDRO DO IGUACU;PARANA;5769
412580;SAO PEDRO DO IVAI;PARANA;8611
412590;SAO PEDRO DO PARANA;PARANA;2722
412600;SAO SEBASTIAO DA AMOREIRA;PARANA;8100
412610;SAO TOME;PARANA;5290
412620;SAPOPEMA;PARANA;6784
412625;SARANDI;PARANA;125785
412627;SAUDADE DO IGUACU;PARANA;6342
412630;SENGES;PARANA;17344
412635;SERRANOPOLIS DO IGUACU;PARANA;5138
412640;SERTANEJA;PARANA;5667
412650;SERTANOPOLIS;PARANA;16183
412660;SIQUEIRA CAMPOS;PARANA;23712
412665;SULINA;PARANA;3495
412667;TAMARANA;PARANA;10645
412670;TAMBOARA;PARANA;4979
412680;TAPEJARA;PARANA;16255
412690;TAPIRA;PARANA;5813
412700;TEIXEIRA SOARES;PARANA;9581
412710;TELEMACO BORBA;PARANA;77182
412720;TERRA BOA;PARANA;18048
412730;TERRA RICA;PARANA;14989
412740;TERRA ROXA;PARANA;18548
412750;TIBAGI;PARANA;20304
412760;TIJUCAS DO SUL;PARANA;18279
412770;TOLEDO;PARANA;158620
412780;TOMAZINA;PARANA;8495
412785;TRES BARRAS DO PARANA;PARANA;11197
412788;TUNAS DO PARANA;PARANA;6302
412790;TUNEIRAS DO OESTE;PARANA;8095
412795;TUPASSI;PARANA;8204
412796;TURVO;PARANA;14443
412800;UBIRATA;PARANA;25517
412810;UMUARAMA;PARANA;121972
412820;UNIAO DA VITORIA;PARANA;56397
412830;UNIFLOR;PARANA;2121
412840;URAI;PARANA;10407
412850;WENCESLAU BRAZ;PARANA;19430
412853;VENTANIA;PARANA;9779
412855;VERA CRUZ DO OESTE;PARANA;8227
412860;VERE;PARANA;8051
412862;ALTO PARAISO;PARANA;3077
412863;DOUTOR ULYSSES;PARANA;5773
412865;VIRMOND;PARANA;3842
412870;VITORINO;PARANA;10280
412880;XAMBRE;PARANA;5851
